ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_recv,ts_in_delta,sequence,symbol
1731340800000000000,1,1,12345,T,A,0,21450.25,1,0,1731340800000100000,100000,1,NQZ5
1731340800150000000,1,1,12345,T,A,0,21450.25,2,0,1731340800150100000,100000,2,NQZ5
1731340800300000000,1,1,12345,T,B,0,21450.00,1,0,1731340800300100000,100000,3,NQZ5
1731340800450000000,1,1,12345,T,A,0,21450.50,5,0,1731340800450100000,100000,4,NQZ5
1731340800600000000,1,1,12345,T,A,0,21450.50,3,0,1731340800600100000,100000,5,NQZ5
1731340800800000000,1,1,12345,T,N,0,21450.50,1,0,1731340800800100000,100000,6,NQZ5
1731340801000000000,1,1,12345,T,B,0,21450.25,2,0,1731340801000100000,100000,7,NQZ5
1731340801200000000,1,1,12345,T,B,0,21450.00,4,0,1731340801200100000,100000,8,NQZ5
1731340801400000000,1,1,12345,T,B,0,21449.75,7,0,1731340801400100000,100000,9,NQZ5
1731340801600000000,1,1,12345,R,A,0,21449.75,0,0,1731340801600100000,100000,10,NQZ5
1731340801800000000,1,1,12345,T,A,0,21449.75,1,0,1731340801800100000,100000,11,NQZ5
1731340802000000000,1,1,12345,T,A,0,21450.00,2,0,1731340802000100000,100000,12,NQZ5
1731340802200000000,1,1,12345,T,A,0,21450.25,3,0,1731340802200100000,100000,13,NQZ5
1731340802400000000,1,1,12345,T,B,0,21450.00,1,0,1731340802400100000,100000,14,NQZ5
1731340802600000000,1,1,12345,T,A,0,21450.25,2,0,1731340802600100000,100000,15,NQZ5
